Book Title,Author,Price
'Bored of Lunch: The Healthy Air Fryer Book',Nathan Anthony,9.49
'Bored of Lunch: The Healthy Slow Cooker Book: THE NUMBER ONE BESTSELLER',Nathan Anthony,9.0
'Strong Female Character',Fern Brady,15.63
'The World According to Kaleb: THE SUNDAY TIMES BESTSELLER - worldly wisdom from the breakout star of Clarkson’s Farm',Kaleb Cooper,9.0
"'It Ends With Us: The emotional #1 Sunday Times bestseller (Lily & Atlas, 1)'",Colleen Hoover,4.5
'Atomic Habits: the life-changing million-copy #1 bestseller',James Clear,9.0
"'The Ultimate Air Fryer Cookbook: Quick, healthy, energy-saving recipes using UK measurements'",Clare Andrews,10.0
"'Thrown: THE SUNDAY TIMES BESTSELLING novel of friendship, heartbreak and pottery for beginners'",Sara Cox,6.74
"'Dr Rupy Cooks: Over 100 easy, healthy, flavourful recipes'",Dr Rupy Aujla,11.0
'The Keeper of Stories: The most charming and uplifting novel you will read this year!',Sally Page,3.0
"'Freezing Order: Vladimir Putin, Russian Money Laundering and Murder - A True Story'",Bill Browder,7.99
'Why Has Nobody Told Me This Before?: The No 1 Sunday Times Bestseller 2022',Dr Julie Smith,8.0
"'Spare: by Prince Harry, The Duke of Sussex'",Prince Harry The Duke of Sussex,14.0
"'Menopausing: The Sunday Times bestselling self-help guide for 2022 to help you care for yourself, cope with symptoms, and live your best life during menopause'",Davina McCall,11.0
"'The Boy, The Mole, The Fox and The Horse'",Charlie Mackesy,8.49
'Roald Dahl Collection 16 Books Box Set: Pakiet',Roald Dahl,34.45
'It Starts with Us: the highly anticipated sequel to IT ENDS WITH US',Colleen Hoover,7.0
'Pinch of Nom: Enjoy',Kay Allinson,10.0
'Verity: The thriller that will capture your heart and blow your mind',Colleen Hoover,4.5
'Stone Maidens',Lloyd Devereux Richards,8.99
"'The Fast 800 Keto Recipe Book: Delicious low-carb recipes, for rapid weight loss and long-term health: The Sunday Times Bestseller (The Fast 800 Series)'",Dr Clare Bailey,9.49
'The official highway code',Driver & Vehicle Standards Agency,4.99
'Follow the Money: How much does Britain cost?',Paul Johnson,19.29
'Lessons in Chemistry: The No. 1 Sunday Times bestseller and BBC Between the Covers Book Club pick',Bonnie Garmus,7.19
"'What’s For Dinner?: The Sunday Times Bestseller – Fuss-free family food in 30 minutes, the first cookbook from the Taming Twins food blog'",Sarah Rossi,10.0
"'Fitwaffle's Baked In One: 100 one-tin cakes, bakes and desserts from the social media sensation'",Eloise Head,11.0
"'8 Rules of Love: From Sunday Times No.1 bestselling author Jay Shetty, a new guide on how to find lasting love and enjoy healthy relationships'",Jay Shetty,10.0
'Where's Spidey?: A Marvel Spider-Man search & find book',Marvel Entertainment International Ltd,3.0
'Seven Husbands of Evelyn Hugo: The Sunday Times Bestseller',Taylor Jenkins Reid,4.5
"'Food for Life: The New Science of Eating Well, by the #1 bestselling author of SPOON-FED'",Tim Spector,10.0
'A Million Sloths: Super-Cute Creatures to Colour: 1 (A Million Creatures to Colour)',Lulu Mayo,4.95
'The Thursday Murder Club: (The Thursday Murder Club 1)',Richard Osman,1.96
