ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
310,20191229,20200110,20200105,21768,SO43697,3578.27
346,20191229,20200110,20200105,28389,SO43698,3399.99
346,20191229,20200110,20200105,25863,SO43699,3399.99
336,20191229,20200110,20200105,14501,SO43700,699.0982
346,20191229,20200110,20200105,11003,SO43701,3399.99
311,20191230,20200111,20200106,27645,SO43702,3578.27
310,20191230,20200111,20200106,16624,SO43703,3578.27
351,20191230,20200111,20200106,11005,SO43704,3374.99
344,20191230,20200111,20200106,11011,SO43705,3399.99
312,20191231,20200112,20200107,27621,SO43706,3578.27
312,20191231,20200112,20200107,27616,SO43707,3578.27
330,20191231,20200112,20200107,20042,SO43708,699.0982
313,20191231,20200112,20200107,16351,SO43709,3578.27
314,20191231,20200112,20200107,16517,SO43710,3578.27
314,20200101,20200113,20200108,27606,SO43711,3578.27
311,20200101,20200113,20200108,13513,SO43712,3578.27
310,20200102,20200114,20200109,27601,SO43713,3578.27
311,20200102,20200114,20200109,13591,SO43714,3578.27
314,20200102,20200114,20200109,16483,SO43715,3578.27
311,20200102,20200114,20200109,16529,SO43716,3578.27
336,20200102,20200114,20200109,25249,SO43717,699.0982
311,20200103,20200115,20200110,27668,SO43718,3578.27
312,20200103,20200115,20200110,27612,SO43719,3578.27
311,20200103,20200115,20200110,13264,SO43720,3578.27
310,20200103,20200115,20200110,13590,SO43721,3578.27
312,20200104,20200116,20200111,13581,SO43722,3578.27
332,20200104,20200116,20200111,14520,SO43723,699.0982
311,20200104,20200116,20200111,16520,SO43724,3578.27
311,20200105,20200117,20200112,13258,SO43725,3578.27
332,20200105,20200117,20200112,14560,SO43726,699.0982
311,20200105,20200117,20200112,16607,SO43727,3578.27
313,20200106,20200118,20200113,27666,SO43728,3578.27
346,20200106,20200118,20200113,11238,SO43729,3399.99
346,20200106,20200118,20200113,25861,SO43730,3399.99
314,20200106,20200118,20200113,16629,SO43731,3578.27
350,20200106,20200118,20200113,11025,SO43732,3374.99
312,20200106,20200118,20200113,27577,SO43733,3578.27
312,20200107,20200119,20200114,27604,SO43734,3578.27
310,20200107,20200119,20200114,16522,SO43735,3578.27
346,20200107,20200119,20200114,11002,SO43736,3399.99
311,20200108,20200120,20200115,13261,SO43737,3578.27
312,20200108,20200120,20200115,11606,SO43738,3578.27
310,20200108,20200120,20200115,13563,SO43739,3578.27
312,20200108,20200120,20200115,16527,SO43740,3578.27
310,20200109,20200121,20200116,27671,SO43741,3578.27
314,20200109,20200121,20200116,13576,SO43742,3578.27
347,20200109,20200121,20200116,11007,SO43743,3399.99
313,20200109,20200121,20200116,16631,SO43744,3578.27
311,20200110,20200122,20200117,16514,SO43745,3578.27
312,20200110,20200122,20200117,16616,SO43746,3578.27
314,20200111,20200123,20200118,27623,SO43747,3578.27
313,20200111,20200123,20200118,27625,SO43748,3578.27
314,20200111,20200123,20200118,27636,SO43749,3578.27
311,20200111,20200123,20200118,11591,SO43750,3578.27
313,20200111,20200123,20200118,11592,SO43751,3578.27
311,20200111,20200123,20200118,13265,SO43752,3578.27
310,20200111,20200123,20200118,16482,SO43753,3578.27
312,20200112,20200124,20200119,27617,SO43754,3578.27
311,20200112,20200124,20200119,27670,SO43755,3578.27
332,20200112,20200124,20200119,19941,SO43756,699.0982
350,20200112,20200124,20200119,11017,SO43757,3374.99
310,20200113,20200125,20200120,27646,SO43758,3578.27
310,20200113,20200125,20200120,13257,SO43759,3578.27
314,20200113,20200125,20200120,16352,SO43760,3578.27
310,20200113,20200125,20200120,16493,SO43761,3578.27
314,20200114,20200126,20200121,27578,SO43762,3578.27
313,20200114,20200126,20200121,16525,SO43763,3578.27
310,20200114,20200126,20200121,16612,SO43764,3578.27
346,20200114,20200126,20200121,11010,SO43765,3399.99
313,20200115,20200127,20200122,16518,SO43766,3578.27
350,20200115,20200127,20200122,11001,SO43767,3374.99
312,20200116,20200128,20200123,27649,SO43768,3578.27
312,20200116,20200128,20200123,21659,SO43769,3578.27
312,20200116,20200128,20200123,27614,SO43770,3578.27
330,20200116,20200128,20200123,14559,SO43771,699.0982
312,20200116,20200128,20200123,16524,SO43772,3578.27
314,20200116,20200128,20200123,16526,SO43773,3578.27
313,20200116,20200128,20200123,16348,SO43774,3578.27
347,20200116,20200128,20200123,11027,SO43775,3399.99
314,20200117,20200129,20200124,13260,SO43776,3578.27
311,20200117,20200129,20200124,16515,SO43777,3578.27
345,20200117,20200129,20200124,11018,SO43778,3399.99
326,20200117,20200129,20200124,25252,SO43779,699.0982
311,20200118,20200130,20200125,11599,SO43780,3578.27
312,20200118,20200130,20200125,16495,SO43781,3578.27
312,20200118,20200130,20200125,16516,SO43782,3578.27
312,20200118,20200130,20200125,16620,SO43783,3578.27
310,20200119,20200131,20200126,27667,SO43784,3578.27
311,20200119,20200131,20200126,11601,SO43785,3578.27
311,20200119,20200131,20200126,11607,SO43786,3578.27
344,20200119,20200131,20200126,29385,SO43787,3399.99
351,20200119,20200131,20200126,11239,SO43788,3374.99
351,20200119,20200131,20200126,25865,SO43789,3374.99
344,20200119,20200131,20200126,25857,SO43790,3399.99
314,20200119,20200131,20200126,16484,SO43791,3578.27
312,20200119,20200131,20200126,16623,SO43792,3578.27
344,20200119,20200131,20200126,11000,SO43793,3399.99
347,20200119,20200131,20200126,11029,SO43794,3399.99
312,20200120,20200201,20200127,27615,SO43795,3578.27
342,20200120,20200201,20200127,17956,SO43796,699.0982
